Date,Price,Open,High,Low,Vol.,Change %
12/30/2022,"1,231.60","1,249.84","1,249.84","1,230.78",100.02M,-1.50%
12/29/2022,"1,250.30","1,238.03","1,251.17","1,232.71",97.73M,0.95%
12/28/2022,"1,238.53","1,247.95","1,250.96","1,238.11",102.23M,-0.74%
12/27/2022,"1,247.72","1,244.37","1,254.52","1,244.37",78.77M,0.48%
12/23/2022,"1,241.78","1,244.15","1,247.17","1,236.51",100.24M,-0.16%
12/22/2022,"1,243.81","1,256.09","1,263.35","1,241.85",136.77M,-0.96%
12/21/2022,"1,255.86","1,234.18","1,256.70","1,234.18",168.54M,1.84%
12/20/2022,"1,233.11","1,235.63","1,237.18","1,222.66",175.11M,-0.40%
12/19/2022,"1,238.09","1,235.27","1,245.81","1,235.27",160.02M,0.28%
12/16/2022,"1,234.59","1,247.89","1,247.89","1,228.62",430.39M,-1.13%
12/15/2022,"1,248.65","1,283.74","1,283.74","1,246.14",234.31M,-2.90%
12/14/2022,"1,285.98","1,288.99","1,288.99","1,280.49",182.33M,-0.26%
12/13/2022,"1,289.30","1,269.60","1,303.28","1,269.60",201.07M,1.59%
12/12/2022,"1,269.15","1,271.62","1,272.99","1,265.60",149.86M,-0.44%
12/09/2022,"1,274.72","1,269.13","1,275.73","1,264.59",179.64M,0.41%
12/08/2022,"1,269.51","1,270.17","1,273.88","1,264.97",161.44M,0.07%
12/07/2022,"1,268.60","1,276.53","1,276.53","1,265.57",178.06M,-0.67%
12/06/2022,"1,277.21","1,281.69","1,282.63","1,271.95",176.62M,-0.37%
12/05/2022,"1,281.96","1,289.57","1,289.57","1,280.67",156.56M,-0.60%
12/02/2022,"1,289.73","1,292.04","1,293.79","1,278.64",193.48M,-0.24%
12/01/2022,"1,292.77","1,287.59","1,297.92","1,287.59",202.29M,0.45%
11/30/2022,"1,286.93","1,273.61","1,287.57","1,273.61",367.10M,1.07%
11/29/2022,"1,273.33","1,272.56","1,280.51","1,270.85",171.83M,0.09%
11/28/2022,"1,272.19","1,276.78","1,276.78","1,266.04",170.68M,-0.57%
11/25/2022,"1,279.45","1,278.40","1,282.42","1,276.28",137.27M,0.07%
11/24/2022,"1,278.56","1,273.23","1,281.66","1,272.66",182.26M,0.42%
11/23/2022,"1,273.20","1,266.86","1,274.25","1,265.47",151.32M,0.57%
11/22/2022,"1,266.02","1,255.20","1,267.56","1,253.53",162.63M,0.72%
11/21/2022,"1,256.95","1,259.83","1,260.37","1,254.29",160.04M,-0.25%
11/18/2022,"1,260.10","1,253.21","1,267.05","1,253.21",194.23M,0.68%
11/17/2022,"1,251.62","1,257.44","1,260.75","1,241.12",161.84M,-0.43%
11/16/2022,"1,256.98","1,266.60","1,268.55","1,254.18",192.08M,-0.77%
11/15/2022,"1,266.76","1,257.02","1,272.42","1,257.02",185.26M,0.75%
11/14/2022,"1,257.38","1,255.95","1,265.19","1,255.27",181.10M,0.20%
11/11/2022,"1,254.90","1,251.28","1,260.80","1,251.28",238.33M,0.73%
11/10/2022,"1,245.75","1,215.60","1,246.98","1,207.32",252.84M,2.37%
11/09/2022,"1,216.92","1,223.41","1,223.41","1,212.40",165.42M,-0.57%
11/08/2022,"1,223.90","1,218.17","1,224.89","1,212.55",167.46M,0.39%
11/07/2022,"1,219.18","1,215.56","1,223.07","1,207.49",171.97M,0.25%
11/04/2022,"1,216.20","1,187.22","1,224.55","1,187.22",220.94M,2.52%
11/03/2022,"1,186.33","1,193.28","1,193.28","1,176.30",190.04M,-0.66%
11/02/2022,"1,194.23","1,205.18","1,212.77","1,193.43",175.45M,-0.92%
11/01/2022,"1,205.29","1,196.20","1,214.62","1,196.20",157.40M,0.93%
10/31/2022,"1,194.14","1,192.17","1,198.52","1,188.36",169.96M,0.18%
10/28/2022,"1,191.98","1,188.00","1,192.81","1,177.28",183.88M,0.06%
10/27/2022,"1,191.26","1,188.93","1,195.91","1,180.88",235.53M,0.16%
10/26/2022,"1,189.32","1,184.32","1,190.49","1,174.08",193.30M,0.40%
10/25/2022,"1,184.60","1,165.59","1,184.76","1,163.81",186.17M,1.79%
10/24/2022,"1,163.80","1,156.55","1,171.28","1,149.13",191.71M,0.84%
10/21/2022,"1,154.11","1,156.19","1,158.23","1,137.50",201.90M,-0.40%
10/20/2022,"1,158.80","1,147.38","1,160.86","1,144.17",164.82M,0.92%
10/19/2022,"1,148.26","1,150.52","1,158.63","1,145.39",164.80M,-0.23%
10/18/2022,"1,150.95","1,148.51","1,164.76","1,148.51",172.61M,0.32%
10/17/2022,"1,147.23","1,128.51","1,151.44","1,125.06",153.54M,1.72%
10/14/2022,"1,127.81","1,126.30","1,149.85","1,126.30",200.64M,0.32%
10/13/2022,"1,124.25","1,111.37","1,127.32","1,091.44",211.84M,0.91%
10/12/2022,"1,114.09","1,119.55","1,125.43","1,108.83",183.67M,-0.50%
10/11/2022,"1,119.72","1,125.26","1,125.26","1,109.91",174.12M,-0.56%
10/10/2022,"1,126.00","1,131.64","1,136.46","1,119.81",149.72M,-0.64%
10/07/2022,"1,133.21","1,149.39","1,150.88","1,132.40",161.65M,-1.45%
10/06/2022,"1,149.93","1,160.94","1,164.19","1,146.32",165.56M,-0.60%
10/05/2022,"1,156.86","1,161.50","1,166.27","1,151.35",179.00M,-0.91%
10/04/2022,"1,167.54","1,136.93","1,167.72","1,136.81",216.36M,3.85%
10/03/2022,"1,124.30","1,103.42","1,125.92","1,098.30",190.76M,0.93%
09/30/2022,"1,113.98","1,108.13","1,116.21","1,103.10",240.39M,1.16%
09/29/2022,"1,101.23","1,110.79","1,110.88","1,093.43",234.43M,-1.61%
09/28/2022,"1,119.30","1,109.86","1,121.00","1,097.08",243.54M,-0.04%
09/27/2022,"1,119.80","1,126.06","1,135.34","1,119.66",198.95M,0.06%
09/26/2022,"1,119.10","1,112.67","1,129.45","1,112.09",191.68M,-0.06%
09/23/2022,"1,119.80","1,148.01","1,148.59","1,118.46",219.85M,-2.76%
09/22/2022,"1,151.54","1,153.15","1,170.74","1,151.40",166.26M,-1.72%
09/21/2022,"1,171.69","1,155.42","1,172.63","1,153.73",166.50M,0.91%
09/20/2022,"1,161.10","1,178.87","1,185.70","1,159.55",183.00M,-1.11%
09/19/2022,"1,174.17","1,169.36","1,179.24","1,157.77",128.76M,-0.06%
09/16/2022,"1,174.87","1,180.07","1,182.01","1,172.68",403.28M,-1.37%
09/15/2022,"1,191.23","1,201.51","1,208.64","1,188.59",199.41M,-0.97%
09/14/2022,"1,202.89","1,199.67","1,208.15","1,194.70",196.67M,-0.39%
09/13/2022,"1,207.59","1,229.31","1,237.07","1,207.59",199.76M,-1.48%
09/12/2022,"1,225.79","1,209.34","1,229.48","1,208.02",179.75M,1.69%
09/09/2022,"1,205.38","1,191.11","1,209.87","1,191.07",168.86M,1.46%
